,Country,City,Facility Name,Facility Status,Technology type,Sub-technology,Power installed capacity (MW),latitude,longitude,Source,Date of commisionning,"Average CAPEX (€/kWh, 2016)","Max CAPEX (€/kWh, 2016)",CAPEX estimated 2030 (€/kWh)
0,Austria,Berg,Hintermuhr,Operational,Mechanical,Pumped Hydro Storage (PHS),104.0,48.1037875,17.03372943,EU Data,0.0,19.0,90.10000000000001,19.0
1,Austria,Flattach,Feldsee Pumped Storage Power Plant,Operational,Mechanical,Pumped Hydro Storage (PHS),140.0,46.99781985,13.042030434,GESDB,0.0,19.0,90.10000000000001,19.0
2,Austria,Frankenburg,BlueSky Energy Microgrid ViZn Z20,Operational,Electro-chemical battery and chemical storage,Redox flow batteries Vanadium,0.064,48.0680308,13.4921448,GESDB,0.0,0.0,0.0,0.0
3,Austria,Gaschurn,Kops II Pumped Storage Power Station,Operational,Mechanical,Pumped Hydro Storage (PHS),525.0,46.9858102,10.03,GESDB,0.0,19.0,90.10000000000001,19.0
4,Austria,Hausling,Häusling Pumped Storage Power Plant,Operational,Mechanical,Pumped Hydro Storage (PHS),360.0,47.14584,11.97,GESDB,0.0,19.0,90.10000000000001,19.0
5,Austria,Hohen Tauern,Oschenik Innerfragant Pumped Storage Power Station,Operational,Mechanical,Pumped Hydro Storage (PHS),108.0,47.1374819,12.33,GESDB,0.0,19.0,90.10000000000001,19.0
6,Austria,Kaprun,Kaprun-Oberstufe,Operational,Mechanical,Pumped Hydro Storage (PHS),112.8,47.27239,12.75985,Power Plant Tracker,1956.0,19.0,90.10000000000001,19.0
7,Austria,Kaprun,Limberg II Pumped Storage Power Station,Operational,Mechanical,Pumped Hydro Storage (PHS),480.0,47.1592991,12.71,GESDB,0.0,19.0,90.10000000000001,19.0
8,Austria,Kaprun,Limberg-2,Operational,Mechanical,Pumped Hydro Storage (PHS),480.0,47.27239,12.75985,Power Plant Tracker,2011.0,19.0,90.10000000000001,19.0
9,Austria,Kaprun,Limberg-3,Authorized,Mechanical,Pumped Hydro Storage (PHS),480.0,47.27239,12.75985,Power Plant Tracker,2022.0,19.0,90.10000000000001,19.0
10,Austria,Kaunertal,Kaunertal-2,Announced,Mechanical,Pumped Hydro Storage (PHS),400.0,46.9470059,10.73486845,EU Data,0.0,19.0,90.10000000000001,19.0
11,Austria,Klagenfurt,Malta-Hauptstufe,Operational,Mechanical,Pumped Hydro Storage (PHS),730.0,46.623943,14.3075976,EU Data,0.0,19.0,90.10000000000001,19.0
12,Austria,Kraftwerk Roßhag,Roßhag Pumped Storage Power Plant,Operational,Mechanical,Pumped Hydro Storage (PHS),231.0,47.0867914,11.77,GESDB,0.0,19.0,90.10000000000001,19.0
13,Austria,Kölnbrein Dam,Reisseck II Pumped Storage Power Plant,Operational,Mechanical,Pumped Hydro Storage (PHS),430.0,47.0791667,13.34,GESDB,0.0,19.0,90.10000000000001,19.0
14,Austria,Lavamünd,Koralpe Pumped Storage Power Plant,Operational,Mechanical,Pumped Hydro Storage (PHS),50.0,46.6407766,14.95,GESDB,0.0,19.0,90.10000000000001,19.0
15,Austria,Limberg,Kaprun Upper Stage Pumped Storage Power Plant,Operational,Mechanical,Pumped Hydro Storage (PHS),113.0,47.3648489,12.64,GESDB,0.0,19.0,90.10000000000001,19.0
16,Austria,Lunersee,Lünerseewerk Pumped Hydro Storage Plant,Operational,Mechanical,Pumped Hydro Storage (PHS),232.0,47.0531826,9.75,GESDB,0.0,19.0,90.10000000000001,19.0
17,Austria,Malta Hauptstufe,Malta Upper Stage Pumped Storage Power Plant,Operational,Mechanical,Pumped Hydro Storage (PHS),120.0,47.0791667,13.34,GESDB,0.0,19.0,90.10000000000001,19.0
18,Austria,Molln,Pfaffenboden,Under Construction,Mechanical,Pumped Hydro Storage (PHS),300.0,47.8861962,14.2572718,EU Data,0.0,19.0,90.10000000000001,19.0
